2025-11-28 02:43:16,181 [canton-env-ec-98] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - DOM::local::122085d60efc... authenticated new token with expiry 2025-11-28T10:43:16.181079Z
2025-11-28 02:43:16,181 [canton-env-ec-51] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - MED::local::122085d60efc... authenticated new token with expiry 2025-11-28T10:43:16.181072Z
2025-11-28 02:43:16,181 [canton-env-ec-54] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - PAR::sandbox::1220a2ad1939... authenticated new token with expiry 2025-11-28T10:43:16.181080Z
2025-11-28 02:43:36,154 [canton-env-ec-98] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=local/client=topology-manager - The sequencer subscription has been terminated by the server.
2025-11-28 02:43:36,155 [canton-env-ec-106] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=local/client=mediator - The sequencer subscription has been terminated by the server.
2025-11-28 02:43:36,156 [canton-env-ec-53] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=local/client=topology-manager - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-11-28 02:43:36,156 [canton-env-ec-100] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=local/client=mediator - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-11-28 02:43:36,157 [canton-env-ec-53] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:participant=sandbox/domainId=local::122085d60efc - The sequencer subscription has been terminated by the server.
2025-11-28 02:43:36,157 [canton-env-ec-107] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:participant=sandbox/domainId=local::122085d60efc - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-11-28 02:43:36,220 [canton-env-ec-54] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - PAR::sandbox::1220a2ad1939... subscribes from counter=158
2025-11-28 02:43:36,227 [canton-env-ec-46] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - MED::local::122085d60efc... subscribes from counter=137
2025-11-28 02:43:36,229 [canton-env-ec-98] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - DOM::local::122085d60efc... subscribes from counter=74
2025-11-28 03:02:40,371 [daml.index.db.threadpool.connection.indexer-2] INFO  c.d.c.p.i.MeteringAggregator:participant=sandbox - Aggregating transaction metering for LedgerMeteringEnd(Offset(Bytes(000000000000000029)),2025-11-28T10:00:00Z)
2025-11-28 03:02:40,375 [daml.index.db.threadpool.connection.indexer-2] INFO  c.d.c.p.i.MeteringAggregator:participant=sandbox - Aggregating transaction metering completed up to LedgerMeteringEnd(Offset(Bytes(000000000000000029)),2025-11-28T10:00:00Z)
2025-11-28 03:42:56,215 [canton-env-ec-98] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - DOM::local::122085d60efc... authenticated new token with expiry 2025-11-28T11:42:56.215007Z
2025-11-28 03:42:56,215 [canton-env-ec-54] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - MED::local::122085d60efc... authenticated new token with expiry 2025-11-28T11:42:56.215013Z
2025-11-28 03:42:56,215 [canton-env-ec-100] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - PAR::sandbox::1220a2ad1939... authenticated new token with expiry 2025-11-28T11:42:56.215013Z
2025-11-28 03:43:16,187 [canton-env-ec-50] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=local/client=mediator - The sequencer subscription has been terminated by the server.
2025-11-28 03:43:16,188 [canton-env-ec-54] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=local/client=topology-manager - The sequencer subscription has been terminated by the server.
2025-11-28 03:43:16,189 [canton-env-ec-106] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=local/client=mediator - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-11-28 03:43:16,189 [canton-env-ec-111] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=local/client=topology-manager - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-11-28 03:43:16,189 [canton-env-ec-111] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:participant=sandbox/domainId=local::122085d60efc - The sequencer subscription has been terminated by the server.
2025-11-28 03:43:16,190 [canton-env-ec-47] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:participant=sandbox/domainId=local::122085d60efc - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-11-28 03:43:16,251 [canton-env-ec-100] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - PAR::sandbox::1220a2ad1939... subscribes from counter=158
2025-11-28 03:43:16,257 [canton-env-ec-111] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - MED::local::122085d60efc... subscribes from counter=137
2025-11-28 03:43:16,259 [canton-env-ec-47] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - DOM::local::122085d60efc... subscribes from counter=74
2025-11-28 04:02:40,370 [daml.index.db.threadpool.connection.indexer-12] INFO  c.d.c.p.i.MeteringAggregator:participant=sandbox - Aggregating transaction metering for LedgerMeteringEnd(Offset(Bytes(000000000000000029)),2025-11-28T11:00:00Z)
2025-11-28 04:02:40,374 [daml.index.db.threadpool.connection.indexer-12] INFO  c.d.c.p.i.MeteringAggregator:participant=sandbox - Aggregating transaction metering completed up to LedgerMeteringEnd(Offset(Bytes(000000000000000029)),2025-11-28T11:00:00Z)
2025-11-28 04:42:36,252 [canton-env-ec-50] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - DOM::local::122085d60efc... authenticated new token with expiry 2025-11-28T12:42:36.251643Z
2025-11-28 04:42:36,252 [canton-env-ec-103] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - PAR::sandbox::1220a2ad1939... authenticated new token with expiry 2025-11-28T12:42:36.251656Z
2025-11-28 04:42:36,252 [canton-env-ec-95] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - MED::local::122085d60efc... authenticated new token with expiry 2025-11-28T12:42:36.251650Z
2025-11-28 04:42:56,221 [canton-env-ec-54] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=local/client=topology-manager - The sequencer subscription has been terminated by the server.
2025-11-28 04:42:56,223 [canton-env-ec-52] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:participant=sandbox/domainId=local::122085d60efc - The sequencer subscription has been terminated by the server.
2025-11-28 04:42:56,223 [canton-env-ec-50] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=local/client=topology-manager - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-11-28 04:42:56,223 [canton-env-ec-46] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:participant=sandbox/domainId=local::122085d60efc - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-11-28 04:42:56,224 [canton-env-ec-106] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=local/client=mediator - The sequencer subscription has been terminated by the server.
2025-11-28 04:42:56,224 [canton-env-ec-52] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=local/client=mediator - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-11-28 04:42:56,289 [canton-env-ec-47] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - MED::local::122085d60efc... subscribes from counter=137
2025-11-28 04:42:56,296 [canton-env-ec-54] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - DOM::local::122085d60efc... subscribes from counter=74
2025-11-28 04:42:56,298 [canton-env-ec-103] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - PAR::sandbox::1220a2ad1939... subscribes from counter=158
2025-11-28 05:02:40,377 [daml.index.db.threadpool.connection.indexer-5] INFO  c.d.c.p.i.MeteringAggregator:participant=sandbox - Aggregating transaction metering for LedgerMeteringEnd(Offset(Bytes(000000000000000029)),2025-11-28T12:00:00Z)
